"","logFC","AveExpr","t","P.Value","adj.P.Val"
"FAM217A",-4.80124153994133,-2.64894701740629,-19.1236449744208,2.29847709140239e-56,2.28653105915102e-54
"SYT6",-4.87755961326971,0.0714536807976086,-19.0704146508344,3.77070271041454e-56,3.72658795321427e-54
"NAA16",-2.47295684886835,4.50586193533879,-18.973413992552,9.29457785175641e-56,9.12618907119536e-54
"OCLM",-3.52704142913507,-1.74969102593493,-18.9360337537049,1.31592808603189e-55,1.28375152186375e-53
"CTRC",-9.83894292559095,8.01780147040434,-18.8897017872586,2.02491559857664e-55,1.96274030551778e-53
"CCR6",5.97219718447672,-1.46253184618955,18.8706331937301,2.41793481926042e-55,2.32876384726349e-53
"TSPAN1",5.42394355833676,4.62141602094623,18.8506934445368,2.91074126106106e-55,2.78565307648762e-53
"COL5A1",3.91198624134121,6.87383772688767,18.8112553778544,4.20091061375628e-55,3.99509241450369e-53
"CAMK2N1",3.20223720548244,5.05758371961956,18.7932917031838,4.96504774469127e-55,4.69228043421729e-53
"DPYSL3",3.6293010871218,5.48200107297511,18.726814464116,9.21567029504657e-55,8.65528885288194e-53
"ECE2",-3.04342276424569,4.25747888872805,-18.7244965811312,9.41656882201659e-55,8.78937883689585e-53
"SLC30A2",-5.55725869640879,4.015922620797,-18.6721537506486,1.53248430332243e-54,1.42163773929683e-52
"LAMC2",5.34170325214059,5.74962373304892,18.6651709953944,1.63535500286627e-54,1.5078172559964e-52
"AMHR2",-4.97470432334208,-0.16527169562518,-18.6298762992222,2.2710834301689e-54,2.08127591197478e-52
"PNPLA7",-2.94369192625303,4.72953916372632,-18.6132369755356,2.65137558594772e-54,2.41514760452503e-52
"AGAP5",-2.768159458819,2.94372421869327,-18.57069943965,3.93880301231822e-54,3.56638564965651e-52
"KCNV1",-4.69076209456457,-2.99783331182611,-18.5372333736366,5.37776155217839e-54,4.84030550181484e-52
