"","logFC","AveExpr","t","P.Value","adj.P.Val"
"FLG2",-5.15375810046837,-5.05237231994973,-37.0132894366645,1.87056833798143e-204,5.05146979671885e-202
"PKD1L2",-4.9395396387832,0.209221425098603,-36.6825912714217,6.82600488816081e-202,1.81314356070278e-199
"CPA1",-6.22605179409309,-3.6414569632224,-36.6056069917292,2.69607776129964e-201,7.04589483328033e-199
"ADM",-4.70725300127474,3.43014719356983,-36.5476933748178,7.57772343022074e-201,1.9489182974582e-198
"AQP7",-6.57073676014982,0.941190320191822,-36.5370367899469,9.16483933275961e-201,2.3202795579485e-198
"PHYHIP",-4.47273439333199,0.414583510459911,-36.3481531047553,2.66701641221295e-199,6.64825645032099e-197
"MYL2",-5.75841751818791,-4.4151677711357,-36.2886005169423,7.71984357830377e-199,1.89522159847358e-196
"REG1A",-6.23813833433165,-5.48194219331594,-36.2864249142397,8.02548952245664e-199,1.94085084675172e-196
"CNR1",-5.55085417937589,0.525300802991033,-36.1190502814316,1.59161880854224e-197,3.79249993453088e-195
"ELANE",-5.5730442524924,-3.85638882387142,-36.1157558602712,1.68801372257743e-197,3.9638965720177e-195
"DEFA1B",-5.41281473939591,-5.67075785454978,-36.062346170675,4.37914027892956e-197,1.01364585627851e-194
"HSD17B13",-5.52961239155273,-2.27077711168415,-36.0383103611849,6.72524981735803e-197,1.53477778578383e-194
"ZBTB16",-5.82303727087818,0.643623572797406,-35.8109005827214,3.89576390750316e-195,8.76709202684356e-193
"GRASP",-3.6131799589686,2.7612417374561,-35.7318063404445,1.59863837593717e-194,3.54832021990548e-192
"GPX3",-5.76485125835485,6.25678175156829,-35.6951528546968,3.07537824149619e-194,6.73383157391388e-192
"GALNT15",-4.804864997945,3.35802430798373,-35.5546018625513,3.78001326434259e-193,8.16634065628574e-191
"TIMP4",-5.84345176082454,1.26623125953301,-35.3187151081471,2.54762112209548e-191,5.43146118964645e-189
"ROBO3",-3.76791339942021,2.01280134666029,-35.2389521410215,1.05792360039239e-190,2.22617351911142e-188
"AASS",-3.70169766850512,2.50216794051409,-35.1972666519864,2.2263472325441e-190,4.62480823191181e-188
"LRRN4CL",-4.56924023002773,0.915258591495147,-35.0153595673714,5.72329017933633e-189,1.173854060453e-186
"CFD",-5.69614962816495,4.43355540420818,-34.811630830335,2.17119919491333e-187,4.39749256939758e-185
"ABCA8",-5.18931263774406,2.36290485643599,-34.7833043403752,3.59945090263251e-187,7.20023493522897e-185
"EIF1AY",-7.08302057428456,-5.43598049251633,-34.7713665312147,4.45405596542151e-187,8.80110595216155e-185
"ADAMTSL4",-3.91044826192098,3.63286573940563,-34.5294889550491,3.33546113197198e-185,6.51138273751109e-183
"SLC2A4",-4.57501461144711,0.500579256838744,-34.4957362857914,6.09099006711313e-185,1.17490847687421e-182
"ADRB2",-4.25248887561973,1.40458211839161,-34.4662946933212,1.02993292095746e-184,1.96329448450279e-182
"ADRA1A",-5.57231497978918,-2.85144249088634,-34.444969144648,1.5067486735349e-184,2.83881962294023e-182
"CNTNAP3B",-4.67588846867234,1.58476834585555,-34.4193429887393,2.38006923979487e-184,4.43267378073521e-182
