"","logFC","AveExpr","t","P.Value","adj.P.Val"
"C14orf180",-5.50540073780649,-3.05499976019345,-19.0997656104218,3.09041488105069e-61,8.11233906275807e-59
"MUC21",-4.2792850158217,-4.86810872579385,-19.0676326168187,4.38516332214824e-61,1.13159511152046e-58
"PGA5",-4.86029374632462,-3.40052943665267,-18.8896924408452,3.04018154850892e-60,7.71446067934139e-58
"PKD1L3",-4.38616187434762,-2.73760987663862,-18.5847879630162,8.33974303079746e-59,2.08151783022773e-56
"A2ML1",-4.11186852912445,-4.67407980425184,-18.4117764939251,5.44033189687314e-58,1.33595246983699e-55
"CELA3B",-4.94894087571706,-4.6152013491352,-18.2961788247429,1.90154755558138e-57,4.59540659265501e-55
"PRSS2",-6.19559729855472,-3.31152330755006,-18.2713681952543,2.48700968679228e-57,5.9163628877207e-55
"SBSN",-4.40662154735283,-4.07387978764872,-18.2012873886958,5.30634022981558e-57,1.24290815382988e-54
"MT1M",-5.64080057228456,1.98906424401853,-18.1928079443262,5.81569394807025e-57,1.34157485392984e-54
"PRIMA1",-4.86389309339074,-3.63553357351819,-18.1051129455904,1.4999829342024e-56,3.40854330943755e-54
"DEFA3",-5.13766448371291,-4.34972857185833,-18.0502778930518,2.71143876826182e-56,6.07083165393915e-54
"SPRR2A",-4.18332641833684,-5.00007999837823,-17.9997606114061,4.67669683385158e-56,1.0319233231216e-53
"BCO2",-4.55937519402558,2.17607732932529,-17.9571239057074,7.40713503165329e-56,1.61105186938459e-53
"FAM163B",-5.11688537476546,-2.05930020420169,-17.9378887178113,9.11420111021524e-56,1.95441847750742e-53
"ADRA1A",-4.95552548980229,1.30008539741125,-17.6716488672561,1.60111894503177e-54,3.38569943584842e-52
"CHRNA4",-6.68504076834669,1.66681200542793,-17.5028556554105,9.80779218312616e-54,2.0455292601109e-51
"INS-IGF2",-5.5625245423984,-3.11766465190833,-17.4958673734521,1.05712330112106e-53,2.1749597648065e-51
"CTRC",-4.29947923546968,-4.08538904142621,-17.4448857407921,1.8261419326735e-53,3.70706812332721e-51
"FCAR",-4.27097873918662,-4.02718517915386,-17.4297237551106,2.14837959798019e-53,4.30382623411164e-51
"PRL",-5.35453036747221,-4.8974731216048,-17.3558803466425,4.73855696325925e-53,9.3694194500808e-51
"NPIPB5",-3.07052629905318,5.15616384906796,-17.3069649610484,7.99892448820583e-53,1.56132852990941e-50
"VIPR1",-4.56800288905797,1.45299287510946,-17.2473348458387,1.51366058773763e-52,2.91714967700068e-50
"CHRM2",-4.68048519695025,-3.97220451314532,-17.1921406545139,2.73038585469946e-52,5.19626557972491e-50
"HAND2",-4.82698978109133,-0.0462130557859275,-17.1621062794765,3.76317955716146e-52,7.07338379725719e-50
"RSPO3",-4.83362893553407,-1.44060832856882,-17.1194828510004,5.93183625411643e-52,1.10136837766979e-49
"MYOT",-3.99932594557932,-4.3209862316441,-17.082028114615,8.84629922750256e-52,1.6227097076955e-49
"CALML5",-3.92604760514176,-5.11944356795192,-16.8702353160805,8.44342790857829e-51,1.53037130842982e-48
"IL1RL1",-5.35870209678437,-0.833099072761662,-16.7209378800407,4.12419497099061e-50,7.38716099215672e-48
"MUC6",-5.59844432031366,-0.422561599628182,-16.6277637389164,1.10770029709846e-49,1.96101593294466e-47
"CELA3A",-5.38638189320342,-3.89770556652898,-16.6169219123949,1.24253899016306e-49,2.17444323278536e-47
"COL6A6",-4.13110583911255,-2.87961695081302,-16.3307496665619,2.5582010600931e-48,4.42597853862698e-46
"CRHBP",-4.49932743961084,0.737491923670532,-16.2619014970696,5.28481823744314e-48,9.04060198483953e-46
"KCNAB3",-3.22949567318167,-1.25680004530544,-16.133409831547,2.04211319199273e-47,3.45457481645436e-45
"XIRP2",-3.94611457434449,-4.93974668241158,-15.9730775766675,1.09823851933725e-46,1.83743752273732e-44
"HBB",-4.41917012190386,3.97916187017531,-15.933499750949,1.66231986886168e-46,2.75095869602381e-44
"RNF165",-3.88868342940401,0.239331042266023,-15.9038707269003,2.26669328732859e-46,3.71079626877181e-44
"DNHD1",-2.86698439926084,3.20192465130872,-15.8992525456917,2.37890872869907e-46,3.85307291430249e-44
"KRT6A",-5.31586835370056,-3.25817942702207,-15.8725649457084,3.14492291612877e-46,5.04015277874321e-44
"NPIPB11",-2.95309037347886,0.73592049493553,-15.7790173890179,8.3573823044481e-46,1.32542859984607e-43
"ANGPTL6",-3.5253088014089,1.90448125899361,-15.755486291333,1.06836003727871e-45,1.67688469768747e-43
"ADCY1",-4.43669887247722,3.04435302258683,-15.6944138644705,2.0196561799792e-45,3.1376801367534e-43
"KRT14",-5.04688240060944,-3.34428967153545,-15.692055848234,2.06989685288594e-45,3.18325046315034e-43
"CNDP1",-5.18693296985299,0.827900323577123,-15.565167546718,7.75235191290315e-45,1.1802955787395e-42
"SEC31B",-2.98935835926698,2.55150402993994,-15.5004065243234,1.51897559980115e-44,2.28974292148243e-42
"HBA1",-4.25054986763372,3.13712838809802,-15.4351301843785,2.98944558932596e-44,4.46218716642037e-42
"S100A8",-3.8466580810941,1.27323994013083,-15.4249659652525,3.32153709272403e-44,4.90974778997315e-42
"RPS6KA6",-4.67601069629775,-2.58482071400188,-15.390427411696,4.75029238091356e-44,6.95415399032778e-42
"NPIPB4",-2.9151847977659,2.08891307307851,-15.31728282522,1.01250833347759e-43,1.46813708354251e-41
"PZP",-5.39331027357405,0.109722425358149,-15.2520778982834,1.98589257261495e-43,2.85237871868515e-41
"FGF23",-4.93702305520496,-4.61985914116061,-15.2343587857474,2.38442456757907e-43,3.39279103190573e-41
"RGS11",-3.89229286203073,-0.887837089605711,-15.1753175732757,4.38343402350816e-43,6.17942435258443e-41
"SLITRK3",-5.38344969370296,-2.22206476500835,-15.1585381382197,5.21075963475939e-43,7.2783316916708e-41
"TENM1",-4.96888853506993,1.12072578095876,-15.1290802482442,7.05753820716817e-43,9.76827447310321e-41
"FAM180A",-4.55889165893822,-0.758066854287603,-15.0957290994737,9.94743165032186e-43,1.36441123311847e-40
"NTF3",-3.8282385130737,-1.27215107230065,-15.0780619750822,1.19295750692422e-42,1.62167661097511e-40
"CHRD",-3.57593283274036,5.56234064425304,-15.0746586969064,1.23544307872225e-42,1.66456821889789e-40
"COL25A1",-4.1138133934368,-2.74202893011399,-15.072332414936,1.26534908356803e-42,1.6899069997652e-40
"NBPF8",-3.18361135939756,4.45754301897766,-15.0111952801349,2.37140603147082e-42,3.13953537644724e-40
"NPPA",-4.08746204901278,-3.34267801949017,-15.0070381771553,2.4748041795215e-42,3.24818048562197e-40
"KRT5",-4.85679095150666,-2.1387738402255,-14.9371043925944,5.07078668523226e-42,6.59852369937274e-40
"PLVAP",3.72714987813987,5.54794903608709,14.9127615981894,6.50719007524927e-42,8.39592956742967e-40
"CPB1",-4.45585160244347,-2.5180848184081,-14.8099795838724,1.86225719971458e-41,2.38259377022307e-39
"DND1",-3.62602244778179,-3.46355886518718,-14.7819549433935,2.47941908067824e-41,3.14576295861052e-39
"SOX10",-4.06549411004433,-4.84576963721442,-14.7638256182286,2.98346630458399e-41,3.75398962704886e-39
"CYP2C19",-4.72272852343669,0.19166503583127,-14.6843603444538,6.70777414321581e-41,8.3709722402017e-39
"FCN3",-4.06424977404431,2.18602197312712,-14.6700623999516,7.75911652023968e-41,9.60427227810155e-39
"TTN",-3.1609570071511,0.897645633888082,-14.6635390111966,8.29191564761173e-41,1.01810012689426e-38
"FAM83F",-4.67390577032293,-1.40884747704016,-14.4810606300024,5.29060586683033e-40,6.44395794579935e-38
"TRPV6",-4.83201885717199,-1.92991661521618,-14.4128194017793,1.0556133368032e-39,1.27553278197053e-37
"SLC4A1",-4.4236188129067,-3.64842015409854,-14.386448611881,1.37812383698471e-39,1.65212089906238e-37
"ASPG",-5.60692842450283,3.48115547206188,-14.3610961555597,1.78042117558796e-39,2.11772753111928e-37
"SFTPB",-4.18045778088343,-4.36698235304489,-14.329004264029,2.46159589964296e-39,2.9052556257414e-37
"CSF3R",-3.21931254430963,2.33753594949496,-14.1920420702327,9.77855810743384e-39,1.145219593736e-36
"TH",-3.75448296103085,-4.27605442612024,-14.1129090735697,2.16444128544157e-38,2.5155434023548e-36
"CNTN3",-4.80068935415468,-0.812514514489697,-14.1069418834483,2.29792078329925e-38,2.65044272164629e-36
"MST1L",-3.56343383860909,4.63957471594997,-14.0457126005966,4.24377580595868e-38,4.85800651471586e-36
"AGAP9",-2.94590501927477,2.85364292088116,-14.0348489414488,4.73121213421079e-38,5.3755749808477e-36
"SMPD3",-3.36547564598086,0.893635737947688,-13.9879246126607,7.56417625531109e-38,8.53070988793418e-36
"MYH1",-4.43869026211952,-3.9261054496787,-13.952574312752,1.07671308488225e-37,1.20536446450972e-35
"GABRR2",-3.38601770778399,-3.5175046907893,-13.869969632733,2.45349220920493e-37,2.72659991862373e-35
"MTUS2",-4.39890940787663,-2.32850586496689,-13.8642456933564,2.59738872388113e-37,2.86559734210798e-35
"SLC5A1",-4.67464102576218,-1.82041824880402,-13.8333562807171,3.53215162660697e-37,3.86884953345979e-35
"AGAP6",-2.46822794237413,3.50435161030847,-13.7382945449159,9.08033259181673e-37,9.8748616936007e-35
"HBD",-4.21657113247587,-4.25138040602364,-13.7294332411072,9.91436866984371e-37,1.07054087232887e-34
"CALN1",-3.82584904585634,-4.28397443599145,-13.695710502484,1.38485351437744e-36,1.4848165321406e-34
"IDO2",-4.65073147714939,-1.01013640669853,-13.6646842349887,1.88279112984323e-36,2.00458006656386e-34
"TRIM66",-2.55535283113165,3.38865867370934,-13.6413769272423,2.37097470308429e-36,2.5068117954485e-34
"SLC25A27",-3.37122215015451,1.74175816113108,-13.5966629382501,3.68811767158595e-36,3.86657657361184e-34
"CXCR1",-3.5629114265145,-1.94910365535547,-13.5961225167342,3.70785011328294e-36,3.86657657361184e-34
"DLGAP2",-3.9638469494583,-3.67270764883007,-13.5931325866996,3.81893857190879e-36,3.95532923519124e-34
"DPP9-AS1",-3.12587284309289,-2.28640300483051,-13.5669122082704,4.94675418981282e-36,5.08880625269595e-34
"UBD",5.47004871052397,6.74992738061239,13.5661077137779,4.98616689597523e-36,5.09492556988073e-34
"NFKBIZ",-2.86339724359639,4.28717002309644,-13.5333761600534,6.88516195703775e-36,6.98843938639331e-34
"MT1F",-4.27565295345815,3.13577086725148,-13.5206396394567,7.80563668375323e-36,7.87025288146642e-34
"MPO",-3.88701545922947,-2.94980912434444,-13.4970803493117,9.84349184902167e-36,9.85968180272072e-34
"NRXN1",-3.74118748968173,-4.56331317299745,-13.4560501332147,1.47370958620252e-35,1.46648551960349e-33
