"","logFC","AveExpr","t","P.Value","adj.P.Val"
"CCKBR",-7.2870397715643,-0.38804169738401,-23.0309689138703,2.12756039895703e-84,5.63342534303839e-82
"C14orf180",-5.72963773008268,-3.8629410693878,-22.8875171285591,1.21003158450088e-83,3.15143799720745e-81
"SNRNP70",-2.39844881042577,7.52593338290706,-22.8330034968071,2.34212801098356e-83,5.92466885005492e-81
"GRIA2",-5.43742302492756,-2.74735049252529,-22.8327464901934,2.34943121768402e-83,5.92466885005492e-81
"AMY2B",-3.53049853882098,2.60321618410497,-22.4319001314804,3.0107147839043e-81,7.47362902685744e-79
"CYP11B1",-5.07229914818956,-4.68915684493677,-22.4015779496553,4.34515486980351e-81,1.06202269871644e-78
"PGA5",-13.9404976634113,1.96951582997448,-22.2162572164623,4.08753527583193e-80,9.83919286774877e-78
"SRRM4",-4.94726088721148,-3.00560740369297,-22.1951093240834,5.2784502463249e-80,1.25162297109498e-77
"TMEM178A",-3.69481157574984,0.509781167384534,-22.1574269398043,8.32434340574425e-80,1.94483593657439e-77
"IZUMO4",-3.23085361032332,0.680952966491565,-22.1542290612402,8.65243769257718e-80,1.99219242930397e-77
"CIRBP",-2.63115670595315,7.08246996070443,-22.0993883719905,1.67885569562477e-79,3.8102829194844e-77
"MYOC",-7.1416672192118,-0.190901634007618,-22.0755012175899,2.24070472388588e-79,5.01381351385563e-77
"GNMT",-5.49968833987579,-0.697076008592278,-21.8995111626193,1.87795165995251e-78,4.14375250300911e-76
"CELA3A",-6.63331975875863,-1.87974322748117,-21.7053317422889,1.95694591341349e-77,4.25890407210959e-75
"LY6H",-4.32713379748965,-0.507262646775573,-21.6666513001932,3.12055127121183e-77,6.69948622239762e-75
"FAM193B",-2.53614826553965,5.10065761964781,-21.6568503266946,3.51215718317089e-77,7.43968548920479e-75
"ZMAT1",-3.68964470972154,2.38905473436573,-21.5803203347493,8.83876075948027e-77,1.84764989718241e-74
"GLUL",-3.13439663310233,9.12476238111835,-21.53786909295,1.4745433334613e-76,3.04234674528566e-74
"PTH1R",-3.87911236920101,0.0748795649215698,-21.4916548033539,2.57377208082647e-76,5.24224577539616e-74
"CLDN7",5.60785868770527,5.60852511240739,21.471295186802,3.28946530810743e-76,6.61515637340541e-74
"HIF3A",-4.74033156280302,3.45638121537518,-21.4602816151549,3.75631223861311e-76,7.4595665668558e-74
"HDC",-4.9395103880076,1.26878560968694,-21.3868433094887,9.09895098465138e-76,1.78463005300193e-73
"FAM153A",-4.89355411257813,-1.30261103125404,-21.3495434561642,1.425884207597e-75,2.76256370806018e-73
"SCNN1D",-3.23212965120473,1.3277257132928,-21.2506485905635,4.68966176754309e-75,8.97646463866952e-73
"LENG8",-2.69229340766724,7.69484753253586,-21.2263147033616,6.28523803430262e-75,1.18873305536864e-72
"NCAM1",-4.21997380604976,3.21985596287231,-21.1714163513354,1.21668395160469e-74,2.27405387519339e-72
"KRT1",-5.1918001545817,-2.03229932720917,-21.0693575727803,4.15145167712617e-74,7.6690828830818e-72
"MAMDC2",-4.72164755741308,2.07493865435019,-21.0279090286933,6.83242860613471e-74,1.24766429040991e-71
"MAP1LC3C",-4.5943744448274,-2.18197529598873,-21.0198229073008,7.52975064843308e-74,1.359376688087e-71
"HTR1E",-5.32965777024086,-4.05995092549629,-20.9592348081899,1.55936963300554e-73,2.78356239995045e-71
"SCUBE2",-3.95243934403192,2.64270705460004,-20.9266733622071,2.30575379852779e-73,4.07016784413455e-71
"PLP1",-5.57217173702433,0.141993640804432,-20.7834430731548,1.28693625017765e-72,2.24676441830465e-70
"CENPT",-2.33132797299668,4.98580834543079,-20.7372348339586,2.24030910624621e-72,3.86867290988408e-70
"RBPJL",-6.35864386898378,-2.93262310769314,-20.5832511620688,1.41904527993512e-71,2.42412606046551e-69
"AASS",-3.34742860238482,2.68430599778268,-20.5067966864804,3.54565632531736e-71,5.99253638726776e-69
"ADH1B",-5.4855008153583,3.92986434302439,-20.4750539067956,5.18497332136509e-71,8.67091275331866e-69
"GRIA4",-4.96502078903109,-1.23112184315138,-20.4671319480636,5.70073869850159e-71,9.43412871907238e-69
"CLPS",-5.62194374222247,-3.25069292660878,-20.4519802499363,6.83430630812686e-71,1.11934664244548e-68
"ZNF540",-3.30353513409703,0.673980482597375,-20.447178893325,7.23854741802372e-71,1.17345717173615e-68
"SCNN1B",-5.30651106109583,0.93055982110228,-20.3849016267273,1.52501950609276e-70,2.447271201343e-68
"RIMS4",-5.37099007302795,-1.13800336864707,-20.3628894418256,1.98437008033759e-70,3.15256874663233e-68
"ESRRB",-5.17701493611299,-1.14211572474316,-20.3576084437798,2.1137466941804e-70,3.3248607653905e-68
"TRIM74",-5.13991398082402,-1.5650104674205,-20.3474380480437,2.38713014285375e-70,3.71807221367819e-68
"MYH6",-5.01626667223928,-3.75321967879019,-20.3304857199587,2.92356999793712e-70,4.50939384050747e-68
"ECHDC2",-3.01341617855152,5.52653836922906,-20.2761026872303,5.60084275091362e-70,8.48560507769825e-68
"ZNF662",-3.6776788114641,1.59130131585907,-20.2759915535604,5.60828685817534e-70,8.48560507769825e-68
"FAM153B",-4.79458443078328,-1.54240180685687,-20.2636623755,6.49862517164884e-70,9.7399677454703e-68
"SLC6A16",-3.59463943423852,-0.0490929884799293,-20.2033528653203,1.33581039692613e-69,1.98336633420238e-67
