"","logFC","AveExpr","t","P.Value","adj.P.Val"
"MYOC",-6.25712716427124,-2.57884113338397,-41.9907722820305,1.53488818437623e-244,3.85400830045719e-242
"NXF3",-5.23894444318018,-0.609099241044203,-41.2743046556732,5.52264659889612e-239,1.36536816683478e-236
"LYVE1",-4.22813280802716,2.93505642844041,-41.2505275817826,8.44822729621088e-239,2.05701534318347e-236
"STARD8",-3.47587301380279,3.61450941770894,-40.8779233238573,6.63303420946988e-236,1.59093820516688e-233
"ABCA9",-4.22220698981172,1.86550593411314,-40.8500791930223,1.09190043017793e-235,2.58041763425873e-233
"ELANE",-5.98146247346635,-2.50891062551672,-40.6779113522556,2.38280272356691e-234,5.54951300981454e-232
"ADGRG4",-4.84872470258131,-4.74270086535633,-39.944968245145,1.21458450701234e-228,2.78833900395547e-226
"HSPA12B",-3.45070646674413,2.8611063758274,-39.6866298667149,1.2552791465763e-226,2.84117406837764e-224
"NPR1",-3.92565325349924,3.50572489623894,-39.6729644637006,1.604456765337e-226,3.58105836374523e-224
"CMTM5",-4.78771851725667,-3.06359460754486,-39.6555933325482,2.19192076560226e-226,4.82522831551072e-224
"TEK",-3.71098969057877,3.4944430981229,-39.6303953697506,3.44652947424399e-226,7.48455792582446e-224
"FHL1",-4.56570148097247,5.30244649034384,-39.4587392256999,7.52839271436698e-225,1.61308361226503e-222
"AGTR1",-4.55018044868827,0.518242900275722,-39.416628449188,1.6045267610909e-224,3.39272961193827e-222
"ASPA",-4.44408551662114,-0.140541840634642,-39.4032503001082,2.04061252407536e-224,4.25878483920662e-222
"PRTN3",-6.06934473611423,-3.32712924711427,-39.3051080866972,1.1907922131285e-223,2.45333729038142e-221
"HEMGN",-4.86111340838843,-3.84133655826108,-39.1301573736047,2.76612537521229e-222,5.62678921261539e-220
"ABCA8",-4.72361119425859,2.55344543853894,-38.9724699461088,4.71572010624362e-221,9.47270276341687e-219
"ANO2",-3.96807193127892,0.0482375719047103,-38.8582878729587,3.67837217006374e-220,7.29770873739806e-218
"MYZAP",-4.16969720604776,2.32915977089014,-38.7856496332227,1.3592025984764e-219,2.66370558018485e-217
"PTGIR",-3.91964934958643,2.70535376943257,-38.6455193582799,1.69257229143079e-218,3.27706466545697e-216
"CORO6",-4.34083491106688,1.81496400830681,-38.4205719975866,9.71231897590295e-217,1.8580591183662e-214
"RS1",-5.27869229787528,-2.7589696349676,-38.3875184652936,1.76121773955142e-216,3.32973753818722e-214
"ATP1A2",-5.02021666984734,0.531433083863544,-38.1796636433501,7.4409466221505e-215,1.39041874672045e-212
"NOTCH4",-3.46712770811245,4.88655337342104,-38.1180187849762,2.25895811467908e-214,4.17258125320608e-212
"ERICH4",-4.20388866191478,-4.07588587347619,-37.8941108912654,1.27649962035661e-212,2.33106237490122e-210
"MYH1",-5.29061692455718,-3.69737712787978,-37.8667525711069,2.08997412424128e-212,3.77369485129859e-210
"ANGPTL1",-4.25928871044355,0.975896713920263,-37.7141874163865,3.26838638654446e-211,5.8358854701966e-209
"LCAT",-3.26657487574284,2.76109385758652,-37.7022782008607,4.05099331866132e-211,7.15378710229531e-209
"GATA1",-4.31125801565227,-2.44106459365368,-37.619704727503,1.79474492466788e-210,3.13495118906661e-208
"MYBPC3",-4.20834723490179,-1.59080534546333,-37.6098682938696,2.14295575745037e-210,3.70293537873413e-208
"LDB3",-3.94824665270484,0.408388459856835,-37.5838755026238,3.42387335289512e-210,5.85336646606644e-208
"NPPA",-4.83852858008198,-3.08428295621372,-37.5508307004447,6.21216418745847e-210,1.05083661571008e-207
"ZBTB16",-5.54368619324031,1.04496982354503,-37.4739851688656,2.48281163834056e-209,4.15612323209718e-207
"RASGRP4",-3.53709814187363,1.72153298632686,-37.2624563669459,1.125801280357e-207,1.86511614178731e-205
"ADGRG3",-4.30972816593322,1.4607764313628,-37.2387848054027,1.72527648872173e-207,2.82910134426105e-205
"FGFR4",-4.27902103707936,3.78739520837483,-37.0695454185154,3.65141972218759e-206,5.92710251874289e-204
"MAMDC2",-4.76785558592645,2.82723868762278,-37.0581026365992,4.4884499718014e-206,7.21293910468485e-204
"GDF10",-5.19577907666891,0.70963781867394,-37.0369274063647,6.57612717519839e-206,1.04632043272711e-203
"ACVRL1",-3.42614771649988,5.32541171598938,-37.0072862536101,1.12244573355788e-205,1.7684022488505e-203
"KCNK3",-4.85488051714167,2.97822337050829,-36.9764128354792,1.95892996397794e-205,3.05631111855587e-203
"SCN7A",-5.09917873798805,3.17150331358319,-36.8863926817368,9.936675376171e-205,1.5354074355295e-202
"TMEM132C",-5.7171155150013,-2.19931340387764,-36.8715879784254,1.29785428330285e-204,1.98633507930255e-202
"EDNRB",-3.9378625264427,3.93055245136974,-36.7428926818563,1.32285123634957e-203,2.00549239322053e-201
"RGCC",-3.73555847795587,5.67178438000889,-36.587756682317,2.1729211765951e-202,3.26344329980218e-200
"RSPO1",-4.67152024597016,-0.972652749135737,-36.5378031071945,5.35133886562483e-202,7.96259403431399e-200
"AZU1",-5.26926095983003,-1.81104934507342,-36.5151833749583,8.04832048331247e-202,1.1865734877691e-199
"RAMP3",-3.58743753247449,3.94621546679076,-36.4073834058578,5.6288541490333e-201,8.2232441977241e-199
"MEFV",-3.85199111684434,0.74898746461037,-36.2377876480477,1.20064976040451e-199,1.7382379864595e-197
"TBX4",-4.01270190142986,3.09256879749401,-36.0878424469447,1.79663519969658e-198,2.57785068385036e-196
"FHL5",-4.05734205979087,0.827884239043325,-35.902855006607,5.05969783568692e-197,7.19551718756538e-195
"TNXB",-4.78311484626764,4.8876653721565,-35.8782674330383,7.88507340435852e-197,1.10600175719138e-194
"ROBO4",-3.45764136609656,4.56104681544538,-35.8780591721616,7.91476055239632e-197,1.10600175719138e-194
"ARHGEF15",-3.3825309931738,3.4168114128072,-35.672008268656,3.2593712962256e-195,4.51535316640909e-193
"CCBE1",-4.32305852616976,2.05357003238838,-35.5983603141849,1.23097723321725e-194,1.69075249041037e-192
"AOX1",-4.13628580649568,2.91769921275723,-35.5235811587813,4.74478557407464e-194,6.46175459113385e-192
"PKNOX2",-3.77936754883108,1.8525638372025,-35.5113038017858,5.92133961839788e-194,7.99629644266e-192
"MPO",-4.77507394317638,-0.697649104788289,-35.5074000942764,6.35343651611893e-194,8.50831040116927e-192
"CLEC4M",-5.42090793928497,-3.01252617565707,-35.2463949032549,7.04809908579271e-192,9.36057457096603e-190
"GPX3",-4.70635856447593,7.75548037036608,-35.1290220809422,5.85638175669402e-191,7.71410285492401e-189
"SCARA5",-5.35352462398778,1.18825799068389,-34.7283225645978,8.05892295341526e-188,1.05290155984864e-185
"S1PR1",-3.51890401100576,4.71550920651297,-34.6648027477565,2.53345991546333e-187,3.28328232592707e-185
"MT1M",-4.5780094741219,1.61402786175494,-34.6549691671852,3.0249613889703e-187,3.88889036166021e-185
"IZUMO1",-4.57377672164578,-2.11554679107775,-34.5414951548337,2.34024737816721e-186,2.9847440767577e-184
"CFD",-4.04779496230987,4.5356805306123,-34.5040138151909,4.59968371241114e-186,5.82022970538952e-184
"ADH1B",-6.53492366900372,4.48687459407578,-34.3827121354171,4.09623142996848e-185,5.14269055309324e-183
"CHRDL1",-4.94455290350991,3.63640739979018,-34.3191315825685,1.28851185191544e-184,1.60514615971171e-182
"CXCR1",-4.76287858357608,0.0193837204841539,-34.2386816646509,5.49264010879569e-184,6.78974819602667e-182
"CLEC3B",-4.03893306110586,3.49096861581587,-34.1922806819931,1.26746105373885e-183,1.55481672775445e-181
"ABCC8",-5.93196764967526,-1.17922627268552,-34.171575060828,1.84067589415011e-183,2.24088345598426e-181
"TUBB1",-4.17640462075879,-1.10682297008991,-34.1198881569384,4.67151626713873e-183,5.64445612127214e-181
"HBA1",-5.45223045698254,3.37809965486804,-33.9512306533101,9.75144609841453e-182,1.16944581195165e-179
"MUSTN1",-4.92660270029583,-0.63219671651075,-33.9018140426444,2.37489107896072e-181,2.82699997325176e-179
"MGAM",-4.37746334452391,0.449434197785426,-33.8797256084924,3.5352938508517e-181,4.17736560170492e-179
"CAV3",-4.63575021950553,-4.22344545669204,-33.7620845264011,2.94123453889628e-180,3.45004664526009e-178
"GPIHBP1",-4.8040342659594,1.30016441831593,-33.6145030800372,4.19289636756113e-179,4.88259743671792e-177
"CASP12",-4.27903530148531,-2.3766281777196,-33.5200312416914,2.2963493389051e-178,2.65484416375575e-176
"TMEM74B",-3.66312088210131,1.7452983521391,-33.4342092897296,1.07600417077757e-177,1.23509907317111e-175
"SH2D3C",-3.07884232020327,4.32608437217938,-33.3393704934736,5.92811921587609e-177,6.75637417015097e-175
"F2RL3",-4.137929929748,2.61515588684657,-33.3210340400053,8.24490908151383e-177,9.33068231971318e-175
"PRG4",-5.12843368312384,1.94548510098828,-33.2922764942558,1.38313984884675e-176,1.55433967629142e-174
"RASIP1",-3.32667149123389,3.76683746340297,-33.2467402793487,3.13765802249122e-176,3.50153919593291e-174
"HIF3A",-4.89137516427068,3.09779135169345,-33.2217846441594,4.9152826979397e-176,5.44748916937179e-174
"SGCA",-4.07644325118184,1.61056706225709,-33.1823967138149,9.98174582208583e-176,1.09867572165013e-173
"GPR4",-3.19298743708456,3.19403984877837,-33.1150589883125,3.35050784156218e-175,3.66276605536764e-173
"FGR",-3.4915255548371,4.65635824621913,-33.0870244518734,5.54667615719539e-175,6.02264093554932e-173
"AGER",-5.4228295982541,4.94115117585746,-32.9307767147851,9.20203313789753e-174,9.92460889436331e-172
"SOX17",-3.44220169670697,1.18574227374786,-32.8861995489426,2.05027433644916e-173,2.19652723911587e-171
"LDB2",-3.26028994780888,4.10212024617898,-32.853869560806,3.66541766602444e-173,3.90087827106044e-171
"MS4A3",-4.63892994422733,-4.24279114135366,-32.8078889756411,8.37391824986771e-173,8.85321488653777e-171
"ABCA10",-3.92690803642884,0.61232831615863,-32.5722104104147,5.77136742205846e-171,6.06182186094637e-169
"AGAP11",-4.20008060272389,0.121694474480257,-32.5541019040216,7.98869847932015e-171,8.33625873783602e-169
"MYOCD",-4.57837599024187,0.247927609465566,-32.5138906425429,1.64432170457336e-170,1.70479030919315e-168
"CLEC1A",-3.47823583736369,1.97857972363817,-32.505689774856,1.90511324277598e-170,1.96251088534679e-168
"MYO15B",-4.040979714783,5.02254925703688,-32.343965069155,3.47046117690664e-169,3.55224911547069e-167
"BMPER",-4.14151840395025,1.08622733219572,-32.3435893923042,3.49393169913289e-169,3.55363812690288e-167
"FXYD1",-3.96926931336385,1.38538084112623,-32.2875864132695,9.54203313587992e-169,9.64405487381071e-167
"XIRP2",-4.53472523895294,-3.83379286098342,-32.2376247373917,2.33792083344303e-168,2.34814923708934e-166
"CA3",-4.62054480192022,0.801720668201993,-32.1651146159588,8.58118842049832e-168,8.56519862841044e-166
"RNF112",-3.45546189079118,0.114556817246309,-31.7938794563325,6.64466344753927e-165,6.59134207419482e-163
"HTR3C",-5.04372574069797,-3.61110672843242,-31.7674074839047,1.06738784707483e-164,1.05232654616519e-162
"CACNA1H",-3.57816988985909,3.32002599176026,-31.7616623036108,1.18302702392339e-164,1.15922221185663e-162
"SLCO4A1",-4.15577964069798,3.57455122709808,-31.7227320772269,2.37506369632177e-164,2.31316809696308e-162
"ANKRD1",-5.4553978695848,0.651318667222853,-31.6585029722734,7.49810053065103e-164,7.25870334503385e-162
"GRK5",-3.07351223607685,4.68568344730391,-31.6352051883129,1.13768371143597e-163,1.09476510435785e-161
"SLC24A4",-3.77133684465126,-0.131146035723886,-31.5920555283022,2.46226780000999e-163,2.35527640155717e-161
"ADARB1",-3.07985042522044,4.75948981779258,-31.5092018353932,1.08397702015278e-162,1.03074027892634e-160
"SEMA3G",-3.33323124866544,3.3459127783845,-31.4911026200554,1.49831138672859e-162,1.41634494027814e-160
"TRHDE",-5.09084203492979,-1.05329543556002,-31.482573551209,1.74520395700409e-162,1.6400834847401e-160
"HBA2",-5.25467905204423,4.40181668813937,-31.475987470208,1.96335008439731e-162,1.83436254978283e-160
"GATA2",-3.46923085376463,3.78890784621971,-31.4732092489263,2.06335851081334e-162,1.91665729877285e-160
"MYL3",-3.83817642005234,-1.53900339577736,-31.2456841463111,1.20437386944121e-160,1.11231540700691e-158
"MMP25",-3.58662695980374,2.3401073497267,-31.2230975363774,1.80299874107416e-160,1.65566798680353e-158
"FABP4",-4.61600847412689,1.79999277212381,-31.2157581503124,2.05557283696489e-160,1.87687815284238e-158
"ADRB1",-4.13498995539428,1.32180698817483,-31.1848520405797,3.57005840441387e-160,3.24129031406389e-158
"LRRC32",-3.43516914844409,5.44343569856466,-31.1546997035049,6.11699469539197e-160,5.52247779522185e-158
"SMAD6",-3.59634651278995,3.76250810844172,-31.0988398913914,1.65845364373346e-159,1.48890223769814e-157
"FCAR",-4.451498709529,-0.825551237483625,-31.0795587807872,2.33987536165786e-159,2.08898872565788e-157
"SVEP1",-3.6691501064169,4.68178737427075,-31.043801206285,4.42986895036322e-159,3.93303834432801e-157
"ITGA8",-3.77144412896414,3.72260671899303,-31.0147331697,7.44211261966925e-159,6.57114009879587e-157
"AOC3",-4.13228440808961,5.88263693157932,-30.8874356227145,7.21116293632898e-158,6.33242559490747e-156
"PLEKHH2",-3.6706331204859,4.3103922411808,-30.8366507135447,1.78368851585198e-157,1.5578192635729e-155
"GPR162",-3.23591508819134,2.26388091299343,-30.680166033738,2.90145944779597e-156,2.52034882843682e-154
"HSPB7",-3.73840636761306,1.93192371073184,-30.5842035603173,1.60306209088582e-155,1.38501117207178e-153
"CHRM1",-4.95663939011369,-2.48777211353883,-30.4159815101341,3.20147405142194e-154,2.75121326237169e-152
"RASL12",-3.11107492650997,3.68746954865876,-30.3663758613448,7.73727218014047e-154,6.61372148589667e-152
"MS4A14",-3.73018778437756,1.23155734582315,-30.3541857547055,9.61056250630287e-154,8.17152060721095e-152
"PDE1C",-3.6486537703458,1.46038879956245,-30.2991233285109,2.55853834731375e-153,2.16398480217537e-151
"SLC5A9",-4.47947323166351,-0.320051762921538,-30.2893150114718,3.0459803504573e-153,2.56276985507062e-151
"ACTC1",-4.6739190109794,-2.31631644545023,-30.2451025330477,6.6844061260969e-153,5.59470866908215e-151
"RSPO4",-4.36925613307289,0.822524674615718,-30.181786575106,2.0593705886265e-152,1.71471944866465e-150
"CPA1",-4.98369931668152,-3.83402798598254,-30.1746425792366,2.33808673398627e-152,1.93675535129687e-150
"IFFO1",-3.00887137745219,3.68899237015729,-30.1358333225532,4.6589661162425e-152,3.83946592246241e-150
"LMOD1",-3.56078430680959,4.17664449311564,-30.1119248158525,7.12392946502222e-152,5.84089522974016e-150
"BTNL8",-4.11178383809462,-1.54487470755718,-30.0421642305393,2.45869341718257e-151,2.00564483320426e-149
"CDO1",-3.85939785214203,0.723798214452127,-30.0399556941778,2.55701165876698e-151,2.07531198769623e-149
"S100A12",-5.0227789152212,0.318517449578174,-29.9905253516209,6.14884446011714e-151,4.96542364191369e-149
"CA1",-4.77208912045635,-3.4174608095421,-29.9860875304232,6.652721786824e-151,5.34546195571308e-149
"RGS11",-3.64340314170161,1.74565959380576,-29.956280350478,1.12907702664104e-150,9.02699891448832e-149
"ITIH3",-3.55800577926353,0.447033768096389,-29.9371849628133,1.58441941158303e-150,1.26047623485838e-148
"MYH2",-4.63045725620813,-3.34468680201655,-29.9077582009948,2.67051820767417e-150,2.11405062055783e-148
"FGF10",-4.51954994789112,-1.92221565673649,-29.7383363937051,5.38449790360233e-149,4.24161182896517e-147
"SEC31B",-3.33990461438805,2.86670360110433,-29.706788985907,9.41689243932694e-149,7.38192495121873e-147
"ITGA7",-3.11304376849356,3.46060165921542,-29.6681163216383,1.86824332070363e-148,1.4574111729955e-146
"ABCA6",-3.49288313495907,2.60250510364494,-29.6524246908402,2.46680619663149e-148,1.9150519603801e-146
"PYGM",-3.16827565971948,0.255284005441177,-29.6023762003664,5.98454798232922e-148,4.62363875365531e-146
"WFDC1",-3.40126554783299,2.26983652657019,-29.4202241553063,1.50244615374813e-146,1.15523012874318e-144
"AFF3",-3.8466718078625,2.12170134097671,-29.3043093711507,1.16591700453901e-145,8.9220410775914e-144
"SEPT4",-2.90119378158281,3.41766800242265,-29.2762389840431,1.91449996696067e-145,1.45810495114019e-143
"ST6GALNAC3",-3.3186579631865,1.50176682025716,-29.2283881212771,4.45783943468912e-145,3.37912640167237e-143
"TMEM110-MUSTN1",-2.95667685716444,2.02832131465406,-29.1331484088972,2.3952523305545e-144,1.80712229821647e-142
"JPH2",-3.45492619672524,1.36221760862468,-29.0133932219236,1.98079492190397e-143,1.48744740163536e-141
"RAB44",-3.6301706533822,-0.929179727821184,-28.9621246482088,4.89083253032866e-143,3.65561296569217e-141
"SLC25A27",-3.51406976439697,1.70159924095575,-28.9201981208889,1.0239707682332e-142,7.61815289143868e-141
"RSPO2",-4.61783104611747,-0.663437765708887,-28.9037902876226,1.36724270340015e-142,1.01222719941272e-140
"TBX3",-3.27866152858035,4.30165477253321,-28.9035455094908,1.3731520191162e-142,1.01222719941272e-140
"P2RX2",-4.80019856191653,-2.00980251036981,-28.8770068220513,2.19163575823227e-142,1.60820030295856e-140
"GRIK4",-3.83679077838126,-0.640123297680847,-28.7833712094465,1.13987930724548e-141,8.3263002124704e-140
"EFCC1",-3.49342917151442,1.56812235149968,-28.7675523724417,1.50586239723497e-141,1.09498682007086e-139
"CAPN3",-3.30887237041912,2.75628090194143,-28.7589448075353,1.7521823898252e-141,1.26835905425635e-139
"ALAS2",-4.82916512174919,-2.91728173374385,-28.7242083803677,3.22887748064582e-141,2.3268188840349e-139
"CLEC1B",-4.1434919416062,-2.96977397470707,-28.6798551248933,7.0455824960039e-141,5.05457637101708e-139
"MYH6",-4.71239102865678,-3.35689623410846,-28.6472182979619,1.25081348628021e-140,8.93358787756574e-139
"PTX3",-4.76413178724579,1.52109982369377,-28.5746677388316,4.47812006789818e-140,3.18422077394353e-138
"PI16",-4.87094822161618,-0.846683576910463,-28.5661204418385,5.20392574707197e-140,3.68401263239853e-138
"SORBS1",-3.34181592748976,4.46975868824154,-28.5654518519308,5.26542910528337e-140,3.71120375973262e-138
"GPM6A",-4.49851179836937,0.19322366581855,-28.5456880589679,7.45175932737585e-140,5.2292477026607e-138
"TTN",-3.37239006057019,3.14765648502893,-28.533788362189,9.18456341860012e-140,6.41721452769148e-138
"IGSF10",-3.82137488089145,3.45815128690649,-28.485838106166,2.13231660926333e-139,1.48339081865202e-137
"ACR",-3.64868140773367,-1.79130475268853,-28.4713766166782,2.74881134937039e-139,1.90402579243027e-137
"NOSTRIN",-3.39942188203876,2.92158614523861,-28.4098216728065,8.09955095722672e-139,5.58625681899714e-137
"P2RX1",-3.31709342706358,1.93878646909822,-28.4056752714798,8.71096144542078e-139,5.9822713858082e-137
"DENND3",-3.10981578784332,5.55084747388779,-28.3488337617162,2.36168245198553e-138,1.61498880865564e-136
"CASQ2",-4.20502792085887,-0.408460337159778,-28.2657528657235,1.01383256021556e-137,6.90351239095932e-136
"CDH5",-3.22137135911421,5.61122507149117,-28.2436762481225,1.49289158630025e-137,1.01226868320021e-135
"TMEM255B",-2.79558836791234,2.7956570904372,-28.2066834458012,2.85477866653296e-137,1.92757534332709e-135
"TBX5",-3.13824005541703,3.17631539407821,-28.2005964032119,3.17607817800689e-137,2.13157224526326e-135
"TMEM204",-2.92884735435055,4.346502309659,-28.2004644264158,3.18343085789161e-137,2.13157224526326e-135
"PLAC9",-3.29685871757164,1.73588243890546,-28.1773794081207,4.77020088130891e-137,3.18079369969437e-135
"CDH19",-4.55459287760966,-1.38654572237972,-28.0397826414297,5.30537673989501e-136,3.52303323182285e-134
"VWA3A",-5.02756352729604,-0.510004192301475,-28.009021332946,9.08722569486913e-136,6.00953567557806e-134
"TCAP",-3.34028282551907,-0.12179914650028,-27.9928638736165,1.20549559639263e-135,7.93947304673342e-134
"ATG16L2",-3.14344988797133,4.69386819470354,-27.947128111352,2.68217085246677e-135,1.75928512649555e-133
"ADRA1D",-3.99044631955006,-0.939830017503336,-27.8927252827521,6.94133088681687e-135,4.53443851020923e-133
"VENTX",-3.37456259972298,0.474903465022107,-27.859277148083,1.24519861387561e-134,8.10135292509353e-133
"BEST1",-2.62446482350624,3.11721912060947,-27.7341332454612,1.10692921719598e-133,7.17272279045944e-132
"PF4",-4.46287070146164,-2.49884303219375,-27.7222806411649,1.36123801233579e-133,8.78517865792613e-132
"PTPRB",-3.27879062537367,5.21162934956638,-27.6634860655464,3.79586396541643e-133,2.43998135696968e-131
"CLEC12B",-4.03357331230163,-2.482820126754,-27.6350329030742,6.23390307487307e-133,3.9911881439526e-131
"CDH23",-3.30575049226458,2.75050398999484,-27.6303958846152,6.7587515322809e-133,4.31004512395849e-131
"F10",-3.37214608552363,1.30217904920914,-27.6079599059102,9.99322659040596e-133,6.34747633627762e-131
"ADAMTSL3",-3.48619565169883,2.6222038472803,-27.5845231515832,1.50342835398983e-132,9.51184789315614e-131
"COL6A6",-4.14451392051411,2.48172821290608,-27.5719405159549,1.8719581179437e-132,1.17970066491589e-130
"PCDH15",-4.64022576380877,-1.64730059801883,-27.5524858973742,2.62716851419104e-132,1.64916398527539e-130
"HBB",-5.02343727134258,4.77457611506413,-27.539863427226,3.27321013240732e-132,2.04671154971929e-130
"GSTM5",-3.29155247775199,1.70967962486084,-27.4362036945116,1.98930517753912e-131,1.23907496911061e-129
"CLDN18",-5.50041816835514,3.2806480184067,-27.3735106757665,5.91995444343351e-131,3.67311459096434e-129
